Date,Price,Open,High,Low,Vol.,Change %
10/06/2020,"1,509.47","1,515.70","1,522.32","1,508.18",114.93M,-0.20%
10/05/2020,"1,512.43","1,501.08","1,513.37","1,498.81",147.92M,0.81%
10/02/2020,"1,500.30","1,494.84","1,501.85","1,489.66",122.65M,0.24%
10/01/2020,"1,496.77","1,501.58","1,503.86","1,491.13",84.88M,-0.53%
09/30/2020,"1,504.82","1,505.77","1,512.95","1,497.78",110.86M,0.06%
09/29/2020,"1,503.90","1,512.75","1,517.33","1,503.90",171.25M,-0.51%
09/28/2020,"1,511.66","1,510.26","1,519.05","1,507.35",126.85M,0.17%
09/25/2020,"1,509.14","1,507.95","1,516.00","1,505.05",161.82M,0.56%
09/24/2020,"1,500.80","1,494.72","1,506.60","1,492.98",209.15M,0.29%
09/23/2020,"1,496.48","1,507.29","1,509.15","1,491.17",145.53M,-0.62%
09/22/2020,"1,505.78","1,495.28","1,511.90","1,494.93",135.82M,0.42%
09/21/2020,"1,499.43","1,510.42","1,511.77","1,496.97",156.24M,-0.48%
09/18/2020,"1,506.63","1,511.78","1,524.07","1,503.43",284.14M,-0.43%
09/17/2020,"1,513.07","1,541.14","1,541.14","1,508.01",314.59M,-1.19%
09/15/2020,"1,531.28","1,510.36","1,532.04","1,503.19",182.13M,1.32%
09/14/2020,"1,511.36","1,513.43","1,515.66","1,506.41",247.33M,0.43%
09/11/2020,"1,504.85","1,486.23","1,505.89","1,477.47",323.10M,0.99%
09/10/2020,"1,490.12","1,502.22","1,504.03","1,474.23",280.83M,-0.44%
09/09/2020,"1,496.72","1,505.74","1,505.74","1,490.53",233.85M,-1.49%
09/08/2020,"1,519.32","1,518.50","1,519.32","1,494.19",177.38M,0.19%
09/07/2020,"1,516.38","1,514.63","1,520.89","1,507.57",94.88M,0.03%
09/04/2020,"1,515.86","1,504.62","1,519.28","1,498.72",123.12M,0.03%
09/03/2020,"1,515.40","1,540.64","1,544.18","1,507.58",227.39M,-1.44%
09/02/2020,"1,537.54","1,525.12","1,537.54","1,523.69",146.42M,1.06%
09/01/2020,"1,521.43","1,541.55","1,541.99","1,520.20",215.67M,-0.25%
08/28/2020,"1,525.21","1,555.05","1,558.29","1,525.21",265.63M,-1.90%
08/27/2020,"1,554.78","1,548.21","1,554.78","1,544.12",132.43M,0.34%
08/26/2020,"1,549.58","1,554.75","1,558.95","1,538.26",129.08M,-0.35%
08/25/2020,"1,554.96","1,563.35","1,569.58","1,552.92",125.07M,-0.87%
08/24/2020,"1,568.58","1,578.55","1,581.27","1,567.10",119.43M,-0.54%
08/21/2020,"1,577.12","1,574.79","1,579.01","1,568.98",194.31M,0.11%
08/19/2020,"1,575.38","1,576.38","1,584.36","1,570.70",108.29M,-0.16%
08/18/2020,"1,577.85","1,559.64","1,577.85","1,557.25",122.34M,1.10%
08/17/2020,"1,560.74","1,561.94","1,567.55","1,543.04",102.19M,-0.25%
08/14/2020,"1,564.59","1,578.79","1,579.63","1,561.18",113.66M,-0.75%
08/13/2020,"1,576.42","1,564.13","1,576.42","1,561.17",103.05M,1.27%
08/12/2020,"1,556.64","1,558.82","1,564.38","1,539.61",147.37M,-0.52%
08/11/2020,"1,564.74","1,580.17","1,581.93","1,564.74",80.68M,-0.44%
08/10/2020,"1,571.66","1,579.29","1,579.29","1,558.07",65.97M,-0.41%
08/07/2020,"1,578.14","1,590.54","1,591.08","1,578.14",78.21M,-0.66%
08/06/2020,"1,588.57","1,577.47","1,588.57","1,575.40",88.75M,1.30%
08/05/2020,"1,568.13","1,578.82","1,579.91","1,566.87",115.80M,-0.50%
08/04/2020,"1,575.94","1,578.24","1,580.87","1,549.62",142.53M,0.21%
08/03/2020,"1,572.61","1,595.01","1,599.34","1,570.18",148.58M,-1.94%
07/30/2020,"1,603.75","1,614.02","1,614.35","1,584.95",126.48M,-0.48%
07/29/2020,"1,611.42","1,610.13","1,618.01","1,589.98",112.19M,0.09%
07/28/2020,"1,609.94","1,594.64","1,609.94","1,593.24",138.51M,1.16%
07/27/2020,"1,591.48","1,594.68","1,595.00","1,585.24",89.99M,0.12%
07/24/2020,"1,589.61","1,603.30","1,605.21","1,585.11",117.98M,-1.05%
07/23/2020,"1,606.42","1,586.97","1,607.80","1,585.45",104.27M,1.22%
07/22/2020,"1,586.98","1,594.05","1,599.57","1,586.27",118.17M,-0.56%
07/21/2020,"1,595.93","1,588.42","1,601.81","1,587.86",147.30M,0.41%
