Price,Open,High,Low,Vol.,Change %
1662.51,1658.98,1662.96,1652.5,181900000.0,0.0091
1689.25,1658.65,1690.79,1657.73,275430000.0,0.0161
1692.2,1682.67,1701.21,1681.78,229880000.0,0.0017000000000000001
1706.54,1702.78,1717.48,1702.52,242570000.0,0.0085
1709.86,1703.24,1719.9,1700.65,156580000.0,0.0019
1711.14,1710.5,1716.75,1705.3,165920000.0,0.0007000000000000001
1713.25,1709.02,1721.34,1706.87,186650000.0,0.0012
1716.82,1717.01,1720.42,1713.67,141990000.0,0.0021
1718.2,1712.08,1727.41,1708.31,125900000.0,0.0008
1705.03,1715.88,1716.46,1702.84,123200000.0,-0.0077
1707.11,1700.36,1710.25,1695.38,126640000.0,0.0012
1705.09,1701.69,1711.39,1701.69,106400000.0,-0.0012
1710.93,1716.98,1717.49,1709.56,111590000.0,0.0034000000000000002
1706.79,1715.3,1715.95,1703.09,109600000.0,-0.0024
1696.95,1702.57,1703.75,1694.22,135800000.0,-0.0058
1686.51,1694.64,1694.98,1684.36,124640000.0,-0.0062
1666.98,1689.34,1691.28,1666.98,172660000.0,-0.0116
1665.71,1667.42,1673.26,1663.76,147200000.0,-0.0008
1664.07,1665.3,1667.43,1658.98,117070000.0,-0.001
1677.56,1665.07,1677.56,1665.07,131210000.00000001,0.008100000000000001
1685.62,1681.66,1687.95,1679.79,178220000.0,0.0048
1688.54,1683.43,1696.99,1679.91,134990000.0,0.0017000000000000001
1685.7,1686.35,1693.07,1685.08,108190000.0,-0.0017000000000000001
1686.11,1683.88,1686.32,1680.79,82040000.0,0.0002
1665.32,1673.1,1674.68,1657.88,159760000.0,-0.0123
1663.2,1663.48,1670.03,1657.77,114180000.0,-0.0013
1658.91,1663.93,1664.59,1651.45,138580000.0,-0.0026
1656.0,1651.31,1658.8,1644.29,104290000.0,-0.0018
1661.53,1661.28,1677.37,1660.07,128889999.99999999,0.0033
1656.5,1661.41,1664.64,1656.27,111190000.0,-0.003
1660.06,1657.09,1664.3,1655.99,109630000.0,0.0021
1661.89,1660.17,1663.48,1657.13,104970000.0,0.0011
1670.9,1661.59,1673.92,1661.59,106120000.0,0.0054
1677.03,1678.68,1686.69,1677.03,142980000.0,0.0037
1684.42,1672.63,1684.77,1671.58,142740000.0,0.0044
1683.09,1678.15,1688.79,1674.67,143340000.0,-0.0008
1682.59,1676.93,1684.63,1674.83,132870000.0,-0.0003
1672.16,1675.41,1675.41,1663.03,294310000.0,-0.0062
1682.37,1670.29,1682.37,1667.16,179230000.0,0.0060999999999999995
1676.77,1682.53,1686.36,1676.77,111330000.0,-0.0033
1673.92,1671.99,1677.0,1671.43,121300000.0,-0.0017000000000000001
1667.87,1670.8,1673.11,1667.14,106950000.0,-0.0036
1672.0,1670.25,1675.96,1668.59,105510000.0,0.0025
1669.24,1669.67,1672.04,1665.97,95770000.0,-0.0017000000000000001
1659.36,1667.19,1668.46,1659.36,113880000.0,-0.0059
1648.65,1660.47,1661.19,1648.65,142940000.0,-0.006500000000000001
1640.14,1650.11,1650.14,1640.14,154600000.0,-0.0052
1629.96,1629.32,1635.28,1625.12,120760000.0,-0.0062
1622.84,1631.1,1633.35,1622.84,127110000.0,-0.0044
1634.13,1637.84,1638.37,1628.76,127110000.0,0.006999999999999999
1656.52,1635.96,1656.52,1635.12,171740000.0,0.0137
1643.9,1651.77,1651.77,1642.83,150630000.0,-0.0076
1629.09,1641.92,1641.92,1627.63,92460000.0,-0.009000000000000001
1643.26,1634.34,1643.26,1630.97,105310000.0,0.0087
1663.51,1641.18,1663.51,1641.14,114030000.0,0.0123
1670.73,1659.57,1674.98,1658.8,122140000.0,0.0043
1685.36,1674.89,1686.4,1674.89,126010000.0,0.0088
1693.14,1686.95,1706.25,1686.85,125470000.0,0.0046
1692.51,1692.5,1697.43,1688.74,84170000.0,-0.0004
1653.37,1686.82,1687.89,1653.37,104310000.0,-0.0231
1665.7,1655.03,1673.17,1653.0,120360000.0,0.0075
1667.97,1667.87,1675.37,1661.69,134550000.0,0.0014000000000000002
1655.13,1663.36,1669.79,1655.13,147350000.0,-0.0077
1657.61,1651.03,1664.53,1648.66,120180000.0,0.0015
1637.59,1657.89,1657.89,1637.59,124720000.0,-0.0121
1641.37,1636.93,1648.43,1636.93,149630000.0,0.0023
1642.54,1642.9,1646.48,1640.64,117530000.0,0.0007000000000000001
1633.44,1639.3,1639.3,1632.34,127030000.0,-0.0055000000000000005
1628.55,1635.03,1639.12,1628.55,114370000.0,-0.003
1622.64,1624.48,1625.46,1608.81,116930000.0,-0.0036
